"","S_93","S_94","S_95","S_97","S_98","S_99","S_100","S_101","S_102","S_103","S_104","S_105","S_106","S_107","S_108","S_109","S_110","S_111","S_112","S_113","S_114","S_115","S_116","S_117","S_119","S_120","S_121","S_122","S_123","S_124","S_125","S_126","S_127","S_128","S_129","S_130","S_131","S_132","S_133","S_134","S_135","S_136","S_137","S_138"
"GII.4c",0.889314201932364,1.79560134820083,1.28833118579,1.52265083775574,2.33628338786443,0.465496510611779,0.794409364458207,1.57730892817772,0.792878067314293,1.46709110876674,0.894321922105463,1.00714672450308,1.09991668373163,1.38487870371017,1.83435739060167,1.33790867324118,0.908837492056769,0,1.95223282906169,1.00335222517247,0.804401168878573,0.966136548133716,0.979338063724779,1.61203846070242,1.20976626715075,0.0296817678370811,0.274297268917631,1.84559040884785,0.86193207836549,1.95681882609721,1.35924002552933,0.964511861134454,1.55466590980167,1.42338060753325,0.431998605061205,1.10403854468509,0.890788881469815,0,1.03298448064231,1.67472317817653,1.72881431858638,1.14658662851237,0.634426724889424,0.792150136247435
"SY2012",3.21412480535285,1.29025919117649,6.61691636257881,6.21334728173344,2.33628338786443,3.36176835941915,6.01315935477738,5.69209237542757,3.6903333602589,1.75077709885066,4.26727588547192,3.15655451498405,2.63405602458849,1.38487870371017,3.84578340685764,3.23241988162404,1.55287686957104,2.01506932171765,1.88666519141851,1.35115614576544,6.08108392868763,4.15636065271955,6.41975533801902,5.40905143853856,3.69649048203512,1.4594316186373,4.85998076727833,1.84559040884785,1.82186494564797,4.39546159287153,1.35924002552933,5.37459419257421,3.19118395443126,2.21692973006582,1.5119739817818,4.39793514594801,2.71012265836381,0,2.53338874933744,5.29612396757245,5.39909798925239,4.71644223684332,1.22435069635401,3.65829128003829
"SF2017",3.21412480535285,4.32599666615412,6.61691636257881,6.21334728173344,1.21892080170978,3.36176835941915,4.84180168684107,5.69209237542757,4.876516946565,3.67398368874538,5.84549005094437,7.58683978796183,5.75755668893945,1.38487870371017,4.09597323028559,3.05232863916767,6.36665806078808,2.01506932171765,4.9133517448185,1.9768932791797,6.08108392868763,4.13787455018018,8.11530380615212,5.40905143853856,3.70104054901292,1.4594316186373,6.36282052553426,1.84559040884785,1.50940777153343,6.72314895704758,1.35924002552933,5.95149663110847,2.8452460607014,2.93535576367047,1.5119739817818,6.4446008137115,4.6504773698971,0,5.64654181173328,6.33806779754262,7.28447711781042,4.71644223684332,4.82068956055921,5.66817586897014
"WI2021",3.21412480535285,4.18489952668079,6.61691636257881,6.21334728173344,2.33628338786443,3.36176835941915,6.37576782872878,5.69209237542757,4.876516946565,3.8993453343875,5.84549005094437,6.45393397595032,5.75755668893945,1.38487870371017,4.45785555876778,3.41592998000071,3.87537757611144,2.01506932171765,2.7877528469077,2.19119001474201,6.08108392868763,4.44194232956666,7.10774947001384,5.40905143853856,4.94549733772819,1.4594316186373,6.36282052553426,1.84559040884785,2.59045809346389,4.72585654941107,1.35924002552933,7.15532422905059,3.69344971421475,3.51363524124993,1.5119739817818,4.47651006166625,3.44664977195498,0,6.21189087447506,6.33806779754262,5.38240353849968,4.71644223684332,4.82068956055921,5.66817586897014
"AL2018",2.14304864334189,3.24838223621057,3.13535908187022,3.7343754767005,2.33628338786443,3.36176835941915,3.76229264026521,4.61792949992057,4.876516946565,1.1080795238399,4.23715390059671,2.28433794384951,2.40635241168146,1.38487870371017,4.00304441484653,2.39220032566081,1.91691983835463,2.01506932171765,1.57968187377211,1.93927898737993,1.80198412655388,2.48542682717024,4.7542373173578,3.83834565000149,3.61695171704991,1.4594316186373,2.76528935131005,1.84559040884785,1.34041609230405,3.63314242714376,1.35924002552933,3.71039218010841,2.22960230661137,1.85178923466072,1.5119739817818,2.07757928047919,2.67833616969616,0,1.23677385780817,3.03063927235037,3.4339777040523,3.26173990867963,1.75632402029559,2.85055261145871
"CW1987",3.21412480535285,0,0,0,2.33628338786443,3.36176835941915,0,0,0.0438800589981332,1.46217840808015,0,0.21223496877089,0.103636815820031,1.38487870371017,0,0,0.420065041145831,2.01506932171765,0.383824490737637,1.91574347291914,0,0.060504738959553,0,0,0,1.4594316186373,0.445150091172502,1.84559040884785,1.20184086239547,0,1.35924002552933,0,1.13360462289506,1.60641130575063,1.5119739817818,0,0.0243303062933853,0,0.20835731321348,0.34597918852862,0.636299322085604,0.200742398559278,1.05621600956655,1.51599244991509
"US95/96",1.98484452629411,0.493147497816617,0.371839087219137,0.521254906305868,2.33628338786443,2.09483193611637,0.40247002893785,0.139653820174034,0,1.1916706417864,0.114850095027584,0.147632233020543,0,1.38487870371017,0.715382604254874,0.326787633274444,0.311956849376223,2.01506932171765,0.0816650669153889,1.94543360034005,0.199664020595234,0,0.60750916595342,0.339735943998481,0.306121331045881,0.124863342971165,0.512321111776143,1.84559040884785,1.3417270374564,0.492407954420669,1.35924002552933,0.474437308330899,1.51243187021162,1.6226676686069,1.5119739817818,0.26369710453212,0,0,0,1.02011257923018,1.26433054469865,0,0.988305844010088,1.26627239736218
"FH2002",0,1.35509945809838,0.0259551212362092,0.875636189605151,0,1.7772868372125,0.0260330383033995,0.290871513267356,0.570181786367023,0,0.293666455223118,0,0.394911471144744,0,0.757764965496664,0.528211693667038,0,2.01506932171765,0,0,1.89323701924806,1.00051534025941,0.152407800814856,0.740308249450658,0.524907914362039,1.4594316186373,1.02332678763253,1.84559040884785,0,0.654908095734757,0,0.947821769791801,0,0,1.5119739817818,0.74416109557041,0.461048124087348,0,0.519594329642586,0,0,1.22908452153177,1.13474941211324,0
"DH2006b",3.21412480535285,2.34671023805243,6.61691636257881,4.11472560450449,0.522143170558612,3.36176835941915,4.47684698701116,4.01041823363474,2.52885129026403,1.26535027168041,3.81550718472866,2.00895782846419,1.63944618333209,1.38487870371017,2.15712255835319,2.03056728944675,0.681533852641622,2.01506932171765,1.6076574464333,0.648960499009385,6.08108392868763,3.22119067612669,2.4830355906526,3.06564361624075,3.04866795747539,1.4594316186373,4.02083477830565,1.84559040884785,1.08526528554609,2.86417334275556,1.35924002552933,4.06616509713935,1.76344034235485,1.33761121248829,1.5119739817818,1.87140808992989,2.09834626164332,0,1.01368673089616,2.47859513069068,2.23549989258438,1.86544284212685,0,1.77432831083722
"NO2009",3.21412480535285,3.54968310052995,6.61691636257881,6.21334728173344,2.33628338786443,3.36176835941915,6.31553400618966,5.69209237542757,4.876516946565,3.70112221526789,5.84549005094437,7.58683978796183,5.75755668893945,1.38487870371017,4.67901085408225,3.15527822547791,2.42205056938483,2.01506932171765,1.80615802021717,3.30888505741176,6.08108392868763,4.46139089171473,8.11530380615212,5.40905143853856,3.94750397535245,1.4594316186373,6.36282052553426,1.84559040884785,2.59952479492405,6.72314895704758,1.35924002552933,7.15532422905059,3.70975756829663,2.96581849160785,1.5119739817818,6.4446008137115,4.6504773698971,0,6.03636712003696,6.33806779754262,5.13505514931926,4.71644223684332,2.78488972313595,5.66817586897014
"YE2006a",0.131762835795374,2.90524704939658,1.85509922007167,2.92572723762137,1.28108773362231,0,1.74684758233777,1.84559905946301,0.965304745006387,0.751775849351526,0.844813946093655,1.38422616781334,1.13843717748624,1.38487870371017,2.43818772733862,0.700188807382312,2.16278572742243,0.220757437135643,1.13288271617708,0.385735876939455,2.13388534442558,2.07454304997466,1.98705165387473,1.59963699430266,1.2980977657525,0,0,0,0.0973934773002885,1.60337779509468,1.35924002552933,0.496398717558217,0.808794019474576,0.34802281678754,0,1.36564947231668,0.797979071107214,0,0.604913657616684,1.75220389407993,3.87644465167977,1.08941913128926,1.16076500215684,0.21465828975464
