"","Sera 1","Sera 2","Distance"
"1","S_93","S_93",0
"2","S_94","S_93",2.21310976390438
"3","S_95","S_93",2.78712734338716
"4","S_97","S_93",2.81742580790706
"5","S_98","S_93",1.12321138040819
"6","S_99","S_93",0.480555509963718
"7","S_100","S_93",2.34791013443311
"8","S_101","S_93",2.43389887004312
"9","S_102","S_93",1.81148642138905
"10","S_103","S_93",1.49521839414626
"11","S_104","S_93",2.15296010724498
"12","S_105","S_93",2.4662348060041
"13","S_106","S_93",2.06805804215079
"14","S_107","S_93",1.23596662804914
"15","S_108","S_93",2.26308459290013
"16","S_109","S_93",1.26632158676482
"17","S_110","S_93",1.8179051741847
"18","S_111","S_93",0.754619448439169
"19","S_112","S_93",1.49047975808555
"20","S_113","S_93",1.03773552422808
"21","S_114","S_93",2.62282379371212
"22","S_115","S_93",1.93199091966751
"23","S_116","S_93",3.02849286971691
"24","S_117","S_93",2.31528668289157
"25","S_119","S_93",1.66993169734174
"26","S_120","S_93",0.962026096592897
"27","S_121","S_93",2.17289873813424
"28","S_122","S_93",1.00824291975866
"29","S_123","S_93",0.979795913033772
"30","S_124","S_93",2.52361864646282
"31","S_125","S_93",1.24171355237392
"32","S_126","S_93",2.52664600921215
"33","S_127","S_93",1.15763543541047
"34","S_128","S_93",0.985105819560674
"35","S_129","S_93",1.02925512299146
"36","S_130","S_93",2.25197591542168
"37","S_131","S_93",1.61815691072498
"38","S_132","S_93",1.42738030829831
"39","S_133","S_93",2.03267133437645
"40","S_134","S_93",2.61689083161746
"41","S_135","S_93",2.95658792189675
"42","S_136","S_93",1.93052050516202
"43","S_137","S_93",1.76760657333901
"44","S_138","S_93",1.54820574568012
"45","S_93","S_94",2.21310976390438
"46","S_94","S_94",0
"47","S_95","S_94",2.19400858567724
"48","S_97","S_94",1.93447277821599
"49","S_98","S_94",2.15702265408311
"50","S_99","S_94",2.64641334782368
"51","S_100","S_94",1.83167396188564
"52","S_101","S_94",1.80041614466147
"53","S_102","S_94",1.37238513171509
"54","S_103","S_94",0.90642299907211
"55","S_104","S_94",1.58898576272502
"56","S_105","S_94",1.18800819908417
"57","S_106","S_94",0.771303550904046
"58","S_107","S_94",2.03903364846176
"59","S_108","S_94",0.770204900173105
"60","S_109","S_94",0.947073738115781
"61","S_110","S_94",0.432914839312143
"62","S_111","S_94",2.19205280835437
"63","S_112","S_94",0.83738858924712
"64","S_113","S_94",1.69803677519172
"65","S_114","S_94",1.94117342645525
"66","S_115","S_94",0.978202363835737
